"cashno","date","ccode","cname","amount","remarks"
"1201","2026-05-19","233","SHAMIM AUTO KALA BOARD","3000",""
"1202","2026-05-19","260","ASAD AUTO MALIR","2000",""
"1203","2026-05-19","158","PAKISTAN AUTO QUAIDABAD","10000",""
"1197","2026-05-19","116","ASIF SUPPLIER ZIP 1","11500",""
"1199","2026-05-19","286","QUETTA AUTO BAKRA PIRI MALIR","4000",""
"1200","2026-05-19","273","RIZWAN AUTO MALIR","5000",""
"1212","2026-05-20","79","REHMAN AUTO AJMEER NAGRI","1000",""
"1211","2026-05-20","253","IZZAT AGA AUTO RABIA CITY","5000",""
"1214","2026-05-20","116","ASIF SUPPLIER ZIP 1","13000",""
"1213","2026-05-20","184","NEW-RIYAZ AUTO LIYARI 36","4000",""
"1208","2026-05-20","236","QUETTA AUTO SHAHLATIF","40000",""
"1207","2026-05-20","73","HUSSAIN AUTO SHAH FAISAL","200000",""
"1210","2026-05-20","220","SHAFI AUTO MEMON GOTH","15000",""
"1209","2026-05-20","237","J&B AUTO SHAH LATIF","10000",""
"1232","2026-05-21","141","ALI AUTO MEHMODABAD","15000",""
"1231","2026-05-21","294","KAZIM AUTO BAG E KORANGI W/RIM","11900",""
"1217","2026-05-21","144","TAJ AUTO MEHRAN TOWN 2","5000",""
"1215","2026-05-21","185","R.R AUTO SURJANI","10000",""
"1216","2026-05-21","91","ADNAN SURJANI 7B","8000",""
"1221","2026-05-21","137","KHAN SHAHRUKH AUTO KORANGI","10000",""
"1222","2026-05-21","191","SHAFI AUTO GULSHAN IQBAL","7000",""
"1223","2026-05-21","207","B.S KORANGI 4 POOL","3000",""
"1218","2026-05-21","114","TAJ AUTO MEHRAN TOWN 1","4500",""
"1219","2026-05-21","173","B.S AUTO FARZAN BAK KORANGI","5000",""
"1220","2026-05-21","181","MAKKA AUTO KORANGI 3 NUMBER","4000",""
"1224","2026-05-21","246","NASIR AUTO PEOPELS CHORANGI","2000",""
"1228","2026-05-21","270","SARWAR AUTO PEOPELS CHOWRANGI","1500",""
"1229","2026-05-21","213","YOUSUF AUTO GULLSHAN 13D","2000",""
"1230","2026-05-21","254","WARSI AUTO NAZIMABAD","3000",""
"1225","2026-05-21","217","BISMILLAH AUTO WATER PUMP","1000",""
"1226","2026-05-21","175","JAPAN AUTO WATER PUMP","1000",""
"1227","2026-05-21","178","B.S ALIYAN AUTO WATER PUMP","1000",""
"1254","2026-05-22","68","ARIF AUTOS LANDHI","20000",""
"1253","2026-05-22","60","RIZWAN SUPPLIER KORANGI","25000",""
"1252","2026-05-22","101","A.R AUTOS BAGH-E-KORANGI","5000",""
"1255","2026-05-22","57","RANA AUTOS LANDHI","30000",""
"1258","2026-05-22","160","HAJI IQBAL QURESHI U.P","15000",""
"1257","2026-05-22","109","BABU AUTO SINDHI HOTEL","10000",""
"1256","2026-05-22","128","ZAIB AUTO WATER PUMP","30000",""
"1251","2026-05-22","196","MAMA A-1 13D WHEEL RIM","16000",""
"1237","2026-05-22","248","FAISAL AUTO AZEEM PURA","2400",""
"1238","2026-05-22","170","ABDUL HADI AUTO DRIG ROAD","5000",""
"1235","2026-05-22","115","HONDA KARACHI PAKISTAN CHOWK","20000",""
"1236","2026-05-22","231","STAR AUTO MALIR","20000",""
"1239","2026-05-22","276","REHAN AUTO SHAH FAISAL","5000",""
"1242","2026-05-22","215","M/S AUTO GULLSHAN 13D","8000",""
"1243","2026-05-22","180","ARSALAN AUTO 13D GULLSHAN","5000",""
"1240","2026-05-22","148","IRFAN AUTO SHAH FAISAL","10000",""
"1241","2026-05-22","167","QADRI AUTO SHAH FAISAL","5000",""
"1248","2026-05-22","213","YOUSUF AUTO GULLSHAN 13D","1000",""
"1247","2026-05-22","217","BISMILLAH AUTO WATER PUMP","1000",""
