"ccode","oracle_name","odoo_name","match","fuzzy_score","oracle_balance","odoo_balance","difference","known_mgr_diff","classification","last_activity","user_note"
"214","YOUSUF AUTO 13D W/RIM","","","","0","","","","NOT IN ODOO","2026-04-06",""
"215","M/S AUTO GULLSHAN 13D","M/S Auto Gulshan 13-D","name_map","","48000","77800","29800","0","NEW","2026-07-23",
"216","M/S AUTO 13D W/RIM","M/S Auto Gulshan 13-D (Wheel Rim)","name_map","","26850","10650","-16200","0","NEW","2026-07-17",
"217","BISMILLAH AUTO WATER PUMP","Bismillah Autos Water Pump","name_map","","65290","31390","-33900","0","NEW","2026-07-30",
"218","B.S ALIYAN WATER PUMP W/RIM","B.S Aliyan Autos Water Pump ( Wheel Rim)","name_map","","8120","8120","0","0","AGREES","2026-06-27",
"219","I.S AUTO PEHALWAN GOTH","I.S Auto Pehalwan Goth","exact","","0","0","0","","AGREES","2026-05-26",""
"220","SHAFI AUTO MEMON GOTH","Shafi Auto Memon Goth","exact","","106610","99610","-7000","0","NEW","2026-07-31",
"221","WAJAHAT SUPPLIER MARKET","Wajahat Supplier Market","exact","","0","46000","46000","46000","KNOWN (Mgr diff)","2026-07-07",
"222","M.A AUTO UP","M.A Autos UP","name_map","","353613.5","30380","-323233.5","0","NEW","2026-07-15",
"223","ABID AUTO LUCKY STAR","Abid Autos Lucky Star","name_map","","17050","22550","5500","0","NEW","2026-07-23",
"224","TIGER","Tiger","exact","","0","0","0","","AGREES","2026-04-16",""
"226","QISMAT AUTO TANDO GHULAM ALI","Qismat Autos Tando Ghulam Ali","name_map","","15950","31950","16000","0","NEW","2026-07-15",
"227","HASNAIN AUTO KORANGI 51 A","Hasnain Autos Korangi 51-A","name_map","","21480","31480","10000","1300","NEW","2026-07-23",
"228","KHALIL AUTO RABIA CITY","Khalil Auto Rabia City","exact","","27500","0","-27500","-5000","NEW","2026-07-20",
"229","IMRAN AUTO FAQEERA GOTH","Imran Autos Faqeera Goth","name_map","","50000","77400","27400","0","NEW","2026-07-28",
"230","M.A AUTO KHOPRA PAR 4 NUMBER","M.A Auto Khopra Par 4 Number","exact","","11570","0","-11570","-1580","NEW","2026-07-01",
"231","STAR AUTO MALIR","Star Autos Malir","name_map","","145070","189620","44550","0","NEW","2026-07-29",
"232","UNIQUE TRADERS KALA BOARD","Unique Traders Kala Board","exact","","2600","2600","0","0","AGREES","2026-06-30",
"233","SHAMIM AUTO KALA BOARD","Shamim Autos Kala Board","name_map","","9631","7056","-2575","-2575","KNOWN (Mgr diff)","2026-07-07",
"234","QUETTA AUTO SHERPAO","Quetta Autos Sherpao","fuzzy","0.944","15600","15600","0","","AGREES","2026-07-07",""
"235","QUETTA AUTO BHAINS COLONY","Quetta Autos Bhains Colony","fuzzy","0.957","4450","0","-4450","","NEW","2026-07-31",""
"236","QUETTA AUTO SHAHLATIF","Quetta Autos Shah Latif","name_map","","25300","33300","8000","-20000","NEW","2026-07-22",
"237","J&B AUTO SHAH LATIF","J & B Autos Shah Latif","name_map","","0","20600","20600","-10000","NEW","2026-07-22",
"238","IMRAN AUTO SHER PAO","Imran Auto Sher Pao","exact","","67350","51450","-15900","0","NEW","2026-07-31",
