"partner_id","odoo_name","oracle_name","ccode","odoo_balance","oracle_balance","difference"
"1694","Mama Ashfaq Badin","MAMA ASHFAQ BADIN","186","1090","0","1090"
"1735","Rehman Autos Ajmer Nagri","REHMAN AUTO AJMEER NAGRI","79","14810","13810","1000"
"1748","Shama Autos Electric Waterpump","SHAMA AUTO ELECTRIC W/P","182","2200","1200","1000"
"1678","Lucky Autos WaterPump","LUCKY AUTO WATER PUMP","123","26000","25000","1000"
"1626","Farhan Autos Water Pump","FARHAN AUTO WATER PUMP","177","1680","680","1000"
"1832","Arif Autos Rahim Yar Khan","ARIF AUTO RAHIM YAR KHAN","265","5000","5580","-580"
"1887","Shoaib Bhai ZIP 1","SHOAIB AHMED ZIP 1","28","10000","9500","500"
"1665","Junaid Autos Agra Taj","JUNAID AUTO AGRA TAJ","82","61400","61852","-452"
"1638","Hamza Khan Autos Islam Chowk (Wheel Rim)","HAMZA KHAN WHEEL RIM","194","25050","24800","250"
"1773","Waqar Tyre Shop (Wheel Rim)","WAQAS TYRE ORANGI W/RIM","205","11050","10800","250"
"1615","Bhittai Autos Samaro","BHITTAI AUTOS SAMARO","97","70491","70500","-9"
"1870","Kazim Auto Bagh-e-Korangi ( Wheel Rim)","","","0","",""
"1863","Doda Auto Turbat","DODA AUTO TURBAT","324","134403","134403","0"
"1740","Saad Humayun Traders","SAAD HUMAYUN TRADERS","61","0","0","0"
"1582","Al-Karam Auto Market","AL-KARAM AUTO MARKET","121","900","900","0"
"1652","Imran Autos Memom Goth","","","0","",""
"1698","Marwat Autos Scout Colony","","","0","",""
"1771","Usama Autos Jubilee (Shoaib)","","","0","",""
"1622","Decent Autos Orangi Town 1 No","","","0","",""
"1573","Abid Autos Gulshan 13-D","","","23930","",""
"1569","A.R.S Sprocket","","","37070","",""
"1770","Unique Traders Kala Board","UNIQUE TRADERS KALA BOARD","232","2600","2600","0"
"1659","Jaffer Autos Clock Tower","","","0","",""
"1785","Zaib Autos Waterpump (Wheel Rim)","","","0","",""
"1710","Nizam Autos Maymar","NIZAM AUTO MAYMAR","107","7650","7650","0"
"1646","Hussain Autos Shah Faisal","HUSSAIN AUTO SHAH FAISAL","73","222295","222295","0"
"1576","Adnan Surjani 7B","ADNAN SURJANI 7B","91","350","350","0"
"1617","Bilal Wheel Through Sachal","BILAL WHEEL THROUGH SACHAL","29","0","0","0"
"1745","Salman Autos Rehmania Mor","","","0","",""
"1706","Negative Inventory Clearing","","","382.33","",""
"1636","Hammad Surjani","HAMMAD SURJANI","90","50","50","0"
"1897","Rehman Autos Janjal Goth","","","70800","",""
"1724","Quetta Autos Bhains Colony","","","0","",""
"1625","Faisal Autos Korangi","FAISAL AUTOS KORANGI","99","720","720","0"
"1744","Saleem Memon","","","0","",""
"1822","Saleem Autos Peoples Chowrangi","","","-5005","",""
"1707","Nehal Autos Kathore","","","0","",""
"1662","Japan Autos Water Pump","JAPAN AUTO WATER PUMP","175","1040","1040","0"
"1881","Raza Autos Malir","RAZA AUTO MALIR","300","5900","5900","0"
"1850","A.R Autos Bagh-e-Korangi (Wheel Rim)","A.R AUTO KORANGI W/RIM","304","8400","8400","0"
"1896","Owais Auto U.P","OWAIS AUTO U.P","341","10000","10000","0"
"1831","M/S Auto Sachal","M/S AUTO SACHAL","269","10640","10640","0"
"1684","M.S Murad Orangi","M.S MURAD ORANGI","162","140","140","0"
"1849","A-One Auto Naukot","","","65200","",""
"1588","Amanullah Auto Memon Goth","","","-1200","",""
"1852","Ahsan Autos Pehalwan Goth","AHSAN AUTO PEHALWAN GOTH","290","5250","5250","0"
"1663","Jawed Autos Chachro","","","0","",""
"1733","Rana Autos Landhi (Wheel Rim)","RANA LANDHI W/RIM","202","960","960","0"
"1711","Noor Autos Quaidabad","NOOR AUTOS QUAIDABAD","52","0","0","0"
"1629","Final Autos Market","","","0","",""
"1781","Yousuf Autos Gulshan 13 D (Wheel Rim)","","","0","",""
"1701","Mehran Autos Bhens Colony (Shoaib)","","","0","",""
"1714","Orangzaib Autos Shahdadpur","","","0","",""
"1767","Tiger","TIGER","224","0","0","0"
"1627","Farhan Autos Water Pump (Wheel Rim)","FARHAN W/P WHEEL RIM","195","920","920","0"
"1743","Sahibzada Auto 89 Market","SAHIBZADA AUTO 89 MKT","244","3450","3450","0"
"1861","Daniyal Autos Azam Basti","DANIYAL AUTO AZAM BASTI","314","29400","29400","0"
"1570","A.W Autos Water Pump","","","8740","",""
"1579","Akbar Patti","","","2000","",""
"1874","Makka Autos Korangi 3 Number (Wheel Rim)","MAKKA KORANGI #3 W/R","301","8520","8520","0"
"1833","Al-Madina Autos Water Pump","AL-MADINA AUTO WATER PUMP","263","26000","26000","0"
"1676","Lifan Centre Sakro","","","0","",""
"1618","Bilawal Bhai Market (Shoaib)","","","0","",""
"1605","B.S Aliyan Autos Water Pump ( Wheel Rim)","B.S ALIYAN WATER PUMP W/RIM","218","8120","8120","0"
"1589","Amir Autos Mirpur Khas","","","4000","",""
"1738","Rizwan Autos Azeem Pura","","","10500","",""
"1705","Naveed Autos Lakhani Garden","","","2200","",""
"1856","Arif Autos Talhar","ARIF AUTO TALHAR","296","-5800","-5800","0"
"1609","B.S Bakhtawar Goth","B.S BAKHTAWAR GOTH","27","0","0","0"
"1599","Attari Autos Korangi 2.5 No.","","","-500","",""
"1648","Ibrahim Korangi (Shoaib)","IBRAHIM KORANGI (SHOAIB)","38","0","0","0"
"1898","Sami Auto Malir Kala Board","SAMI AUTO MALIR KALA BOARD","345","13300","13300","0"
"1895","Karachi Auto Malir Jinnah Square","","","5250","",""
